hashtag, num_tweets, num_users, num_convs
"superbowl","1571329","1073453","35317"
"ravens","454016","319342","19239"
"49ers","297501","213371","14865"
"sb47","239239","154287","6152"
"superbowl47","167569","124203","3011"
"superbowlsunday","158608","134937","3623"
"beyonce","156204","133430","4380"
"superbowl2013","131001","103636","3354"
"nfl","129311","80243","3748"
"superbowlxlvii","109588","77987","2763"
"niners","54452","41081","3484"
"ravensnation","48172","32863","1612"
"nflhonors","45450","31988","323"
"baltimore","41618","30913","1043"
"ravennation","41300","28998","1951"
"goravens","41296","34921","2504"
"questforsix","35147","22045","1988"
"raylewis","29302","26007","1117"
"pepsihalftime","26664","19196","371"
"nola","24729","15395","1075"
"getglue","24516","15704","36"
"blackberry10","23306","15864","1060"
"destinyschild","23046","21939","438"
"beyoncebowl","21645","19067","348"
"lightsout","21278","20545","317"
"halftime","20002","18308","232"
"49erslockerroomplaylist","19718","16057","33"
"football","18227","13850","326"
"puppybowl","17938","15607","534"
"touchdown","17248","16497","365"
"brandbowl","17210","8142","711"
"blackout","16380","15563","248"
"halftimeshow","15532","14568","196"
"superbowlchamps","15532","14143","393"
"xlvii","14419","12742","196"
"sf","13801","9422","601"
"balvssf","13258","10331","247"
"rt","13255","12403","146"
"poweroutage","12255","11540","221"
"thenextbigthing","10936","9734","193"
"sanfrancisco","10862","7296","270"
"kaepernick","10843","9661","521"
"harbowl","10396","8589","433"
"mvp","10344","9706","364"
"wishgranted","10026","7683","159"
"thekiss","9489","8573","320"
"cbssuperbowl","9357","6553","355"
"gameday","9288","8900","116"
"superbowlblackout","9041","8562","123"
"sunday","8952","8134","142"
"beattheravens","8208","6136","309"
"sbcommercials","8126","6793","81"
"adbowl","7940","4335","304"
"neworleans","7841","5683","169"
"bodybyvi","7714","7706","0"
"totl","7704","7701","0"
"respect","7658","7510","153"
"godaddy","7423","6957","255"
"goniners","6855","5609","480"
"champions","6845","5905","150"
"loneranger","6801","2472","104"
"superdome","6653","6096","138"
"ninernation","6570","5274","299"
"infiniteanswers","6552","3303","173"
"red","6540","6409","20"
"brown","6039","5145","133"
"budweiser","5917","5813","78"
"baltimoreravens","5904","4711","111"
"letsgo","5713","5458","142"
"naturalhair","5408","5398","1"
"comeback","5336","5170","236"
"beyhive","5334","3729","146"
"flacco","5332","4685","237"
"love","5296","4776","104"
"prom","5278","4374","122"
"crackinstyle","5155","4904","104"
"biggame","5155","4337","334"
"sbxlvii","5149","3721","199"
"s","5099","5051","18"
"beyonceatsuperbowl","4961","4370","90"
"godmadeafarmer","4857","4246","141"
"food","4831","4388","97"
"sports","4806","1975","54"
"party","4755","4107","141"
"fb","4694","3440","60"
"commercials","4691","4217","90"
"sbravens","4613","4015","65"
"go49ers","4518","3923","281"
"gethappy","4451","4028","177"
"vw","4443","3295","133"
"lewis","4440","3957","267"
"superbowlads","4424","3233","177"
"champs","4352","4061","139"
"super","4338","3865","48"
"amazing","4320","4194","106"
"favoritedestinyschildsong","4299","4299","0"
"illuminati","4041","3883","53"
"jayz","4015","3196","137"
"fast6","4000","3482","30"
"doitforbaltimore","3916","3531","41"
