time,count,positive,neutral,negative
1359932400,1719,176,1486,57
1359932700,1809,201,1550,58
1359933000,2299,264,1959,76
1359933300,1802,239,1517,46
1359933600,1264,162,1052,50
1359933900,1370,153,1171,46
1359934200,1820,156,1623,41
1359934500,1330,118,1157,55
1359934800,1095,83,954,58
1359935100,1101,101,944,56
1359935400,1657,131,1467,59
1359935700,1338,96,1177,65
1359936000,1002,98,857,47
1359936300,1201,83,1074,44
1359936600,1426,110,1243,73
1359936900,857,79,726,52
1359937200,1094,62,950,82
1359937500,1009,69,850,90
1359937800,1222,91,1010,121
1359938100,1065,81,890,94
1359938400,1040,65,881,94
1359938700,785,53,658,74
1359939000,1285,64,1080,141
1359939300,1212,71,1025,116
1359939600,927,69,763,95
1359939900,765,77,603,85
1359940200,544,52,450,42
1359940500,460,57,367,36
1359940800,544,72,436,36
1359941100,597,51,498,48
1359941400,825,36,705,84
1359941700,839,28,712,99
1359942000,687,24,582,81
1359942300,732,35,629,68
1359942600,666,47,539,80
1359942900,631,35,542,54
1359943200,647,41,554,52
1359943500,665,36,568,61
1359943800,841,43,702,96
1359944100,726,36,616,74
1359944400,977,61,826,90
1359944700,2579,212,2255,112
1359945000,3216,148,2965,103
1359945300,2192,171,1911,110
1359945600,2474,139,2228,107
1359945900,2125,139,1872,114
1359946200,1338,83,1189,66
1359946500,1265,94,1107,64
1359946800,1388,90,1249,49
1359947100,3094,210,2752,132
1359947400,1579,124,1366,89
1359947700,1115,75,978,62
1359948000,1573,89,1410,74
1359948300,2136,107,1931,98
1359948600,1895,100,1695,100
1359948900,1228,55,1008,165
1359949200,1216,81,1020,115
1359949500,1509,197,1127,185
1359949800,1334,239,922,173
1359950100,972,160,689,123
1359950400,723,99,524,100
1359950700,708,99,514,95
1359951000,752,104,554,94
1359951300,721,91,520,110
1359951600,622,92,454,76
1359951900,639,93,431,115
