time,count,positive,neutral,negative
1359932400,476,60,389,27
1359932700,546,64,466,16
1359933000,545,47,480,18
1359933300,498,56,425,17
1359933600,610,81,503,26
1359933900,514,60,423,31
1359934200,428,38,367,23
1359934500,330,35,278,17
1359934800,380,27,334,19
1359935100,327,25,282,20
1359935400,323,27,282,14
1359935700,329,32,277,20
1359936000,323,25,285,13
1359936300,305,25,264,16
1359936600,329,19,295,15
1359936900,266,31,218,17
1359937200,319,20,285,14
1359937500,295,23,253,19
1359937800,329,14,293,22
1359938100,311,18,265,28
1359938400,282,29,235,18
1359938700,299,18,256,25
1359939000,341,29,295,17
1359939300,280,24,240,16
1359939600,270,37,220,13
1359939900,277,26,234,17
1359940200,653,50,561,42
1359940500,698,46,598,54
1359940800,626,78,499,49
1359941100,353,34,296,23
1359941400,299,19,255,25
1359941700,346,19,300,27
1359942000,394,15,344,35
1359942300,558,19,476,63
1359942600,520,21,444,55
1359942900,455,26,378,51
1359943200,444,26,371,47
1359943500,459,16,394,49
1359943800,409,28,335,46
1359944100,296,14,243,39
1359944400,313,24,262,27
1359944700,342,18,297,27
1359945000,344,13,311,20
1359945300,336,33,278,25
1359945600,335,20,290,25
1359945900,306,25,256,25
1359946200,389,34,334,21
1359946500,307,22,263,22
1359946800,276,22,240,14
1359947100,271,19,238,14
1359947400,278,20,238,20
1359947700,238,21,203,14
1359948000,274,25,234,15
1359948300,252,7,228,17
1359948600,288,19,248,21
1359948900,373,22,312,39
1359949200,371,33,312,26
1359949500,630,91,513,26
1359949800,488,81,375,32
1359950100,402,53,308,41
1359950400,486,44,406,36
1359950700,454,65,354,35
1359951000,370,69,277,24
1359951300,384,52,296,36
1359951600,375,44,301,30
1359951900,333,46,262,25
